,Tag,Product Type,Product/Title,Plot/Notes,,
3468,Furniture Home Office,Furniture,"Safco Floating Shelf Set, Metal",Home Office,,
13778,Technology Consumer,Technology,"Panasonic Printer, Red",Consumer,,
10603,Office Supplies Corporate,Office Supplies,Acco Perma 4000 Stacking Storage Drawers,Corporate,,
5503,Furniture Corporate,Furniture,"Rubbermaid Stacking Tray, Erganomic",Corporate,,
18242,Technology Consumer,Technology,"Motorola Speaker Phone, VoIP",Consumer,,
19963,Technology Home Office,Technology,"Cisco Signal Booster, Full Size",Home Office,,
15274,Technology Corporate,Technology,"StarTech Card Printer, Wireless",Corporate,,
18246,Technology Corporate,Technology,"SanDisk Mouse, Erganomic",Corporate,,
14214,Technology Home Office,Technology,"Brother Personal Copier, High-Speed",Home Office,,
2251,Furniture Consumer,Furniture,"Eldon Frame, Black",Consumer,,
19074,Technology Corporate,Technology,"Cisco Audio Dock, VoIP",Corporate,,
470,Furniture Consumer,Furniture,Hon 2111 Invitation Series Corner Table,Consumer,,
11698,Office Supplies Home Office,Office Supplies,Vinyl Sectional Post Binders,Home Office,,
14391,Technology Consumer,Technology,"SanDisk Keyboard, Programmable",Consumer,,
10840,Office Supplies Consumer,Office Supplies,"Carina 42""Hx23 3/4""W Media Storage Unit",Consumer,,
11897,Office Supplies Corporate,Office Supplies,"Binney & Smith Highlighters, Blue",Corporate,,
1242,Furniture Consumer,Furniture,"Bush Stackable Bookrack, Pine",Consumer,,
18498,Technology Consumer,Technology,"Cisco Speaker Phone, VoIP",Consumer,,
14167,Technology Corporate,Technology,"Logitech Flash Drive, Programmable",Corporate,,
20780,Technology Consumer,Technology,"Belkin Mouse, Erganomic",Consumer,,
3974,Furniture Corporate,Furniture,"Barricks Coffee Table, Rectangular",Corporate,,
20886,Technology Consumer,Technology,"Sharp Fax Machine, High-Speed",Consumer,,
2754,Furniture Consumer,Furniture,"Lesro Conference Table, Rectangular",Consumer,,
417,Furniture Corporate,Furniture,"Advantus Clock, Durable",Corporate,,
13781,Technology Corporate,Technology,"Panasonic Printer, White",Corporate,,
